         754262 function calls (753796 primitive calls) in 20.095 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2772    0.006    0.000    0.006    0.000 {method 'rfind' of 'str' objects}
     2748    0.006    0.000    0.006    0.000 /usr/lib/python2.6/logging/__init__.py:560(filter)
       10    0.006    0.001    0.019    0.002 /usr/lib/python2.6/dist-packages/chardet/sjisprober.py:51(feed)
      916    0.006    0.000    0.006    0.000 /usr/lib/python2.6/logging/__init__.py:1222(getEffectiveLevel)
      969    0.006    0.000    0.009    0.000 /usr/lib/python2.6/sre_parse.py:188(__next)
       11    0.006    0.001    0.006    0.001 {posix.popen}
      631    0.005    0.000    0.005    0.000 {method 'write' of 'cStringIO.StringO' objects}
      916    0.005    0.000    0.080    0.000 /usr/lib/python2.6/logging/__init__.py:1134(makeRecord)
      230    0.005    0.000    0.015    0.000 /usr/lib/python2.6/urlparse.py:133(urlsplit)
   138/24    0.005    0.000    0.021    0.001 /usr/lib/python2.6/sre_compile.py:38(_compile)
      916    0.005    0.000    0.007    0.000 /usr/lib/python2.6/logging/__init__.py:148(getLevelName)
       11    0.005    0.000    0.006    0.001 {method 'decode' of 'str' objects}
     1866    0.005    0.000    0.005    0.000 {built-in method acquire}
      615    0.005    0.000    0.008    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:192(get_order)
      916    0.005    0.000    0.011    0.000 /usr/lib/python2.6/logging/__init__.py:1236(isEnabledFor)
       59    0.004    0.000    0.009    0.000 /usr/lib/python2.6/sre_compile.py:213(_optimize_charset)
     1199    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
       44    0.004    0.000    0.004    0.000 {_mysql.escape_string}
      916    0.004    0.000    0.007    0.000 /usr/lib/python2.6/posixpath.py:109(basename)
     1808    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
      916    0.004    0.000    0.015    0.000 /usr/lib/python2.6/posixpath.py:94(splitext)
      916    0.004    0.000    0.006    0.000 /usr/lib/python2.6/logging/__init__.py:76(<lambda>)
      120    0.004    0.000    0.005    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:41(reset)
     1866    0.004    0.000    0.004    0.000 {built-in method release}
      985    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      300    0.004    0.000    0.005    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:49(reset)
      981    0.004    0.000    0.004    0.000 {time.time}
      210    0.004    0.000    0.006    0.000 /usr/lib/python2.6/urlparse.py:125(_splitnetloc)
       11    0.004    0.000    0.539    0.049 /home/renlu/Dropbox/Private/devel/hyer/hyer/misc.py:30(cmdmy)
     1447    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      834    0.003    0.000    0.011    0.000 /usr/lib/python2.6/sre_parse.py:207(get)
      206    0.003    0.000    0.440    0.002 /home/renlu/Dropbox/Private/devel/hyer/hyer/spider.py:91(add_url)
     1524    0.003    0.000    0.003    0.000 {method 'has_key' of 'dict' objects}
       45    0.003    0.000    0.003    0.000 {open}
      343    0.003    0.000    0.005    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:192(get_order)
       20    0.003    0.000    0.008    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:38(reset)
       27    0.003    0.000    0.003    0.000 /usr/lib/python2.6/sre_compile.py:264(_mk_bitmap)
      633    0.003    0.000    0.004    0.000 /usr/lib/python2.6/sre_parse.py:136(__getitem__)
      129    0.003    0.000    0.003    0.000 {range}
      250    0.003    0.000    0.279    0.001 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:273(_do_query)
       10    0.003    0.000    0.007    0.001 /usr/lib/python2.6/dist-packages/chardet/utf8prober.py:50(feed)
      114    0.003    0.000    0.006    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:107(_do_get_result)
      206    0.003    0.000    0.249    0.001 /home/renlu/Dropbox/Private/devel/hyer/hyer/rules_monster.py:12(can_fetch)
      230    0.002    0.000    0.019    0.000 /usr/lib/python2.6/urlparse.py:102(urlparse)
      206    0.002    0.000    0.076    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urldb.py:95(add)
     1128    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      916    0.002    0.000    0.002    0.000 {sys._getframe}
       20    0.002    0.000    2.595    0.130 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:55(feed)
        1    0.002    0.002    0.002    0.002 /usr/lib/python2.6/dist-packages/chardet/sbcsgroupprober.py:29(<module>)
      300    0.002    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:173(get_order)
   208/94    0.002    0.000    0.003    0.000 /usr/lib/python2.6/sre_parse.py:146(getwidth)
      343    0.002    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:132(get_order)
      916    0.002    0.000    0.002    0.000 /usr/lib/python2.6/threading.py:655(name)
       22    0.002    0.000    0.004    0.000 /usr/lib/python2.6/rfc822.py:228(getallmatchingheaders)
      343    0.002    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:149(get_order)
     1119    0.002    0.000    0.002    0.000 /usr/lib/python2.6/copy.py:100(_copy_immutable)
      150    0.002    0.000    0.005    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:42(__init__)
       85    0.002    0.000    0.002    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
       11    0.002    0.000    0.091    0.008 /home/renlu/Dropbox/Private/devel/hyer/hyer/diskhash.py:11(hash_write)
       86    0.002    0.000    5.813    0.068 /usr/lib/python2.6/httplib.py:513(read)
       30    0.002    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:72(get_confidence)
       11    0.002    0.000    0.541    0.049 /home/renlu/Dropbox/Private/devel/hyer/hyer/misc.py:48(gettags)
       11    0.002    0.000    0.006    0.001 /home/renlu/Dropbox/Private/devel/hyer/hyer/tinySQL.py:36(create)
      110    0.002    0.000    0.002    0.000 {dir}
      739    0.002    0.000    0.002    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:124(_get_db)
      916    0.002    0.000    0.002    0.000 /usr/lib/python2.6/posixpath.py:42(normcase)
      916    0.002    0.000    0.002    0.000 {posix.getpid}
       11    0.002    0.000    0.069    0.006 /home/renlu/Dropbox/Private/devel/hyer/hyer/document.py:79(scan_links)
      154    0.002    0.000    0.003    0.000 /usr/lib/python2.6/rfc822.py:197(isheader)
      279    0.002    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:115(get_order)
      470    0.002    0.000    0.002    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:35(reset)
      458    0.002    0.000    0.002    0.000 {method 'seek' of 'cStringIO.StringO' objects}
       35    0.002    0.000    0.002    0.000 /usr/lib/python2.6/socket.py:265(close)
      250    0.001    0.000    0.281    0.001 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:311(_query)
       12    0.001    0.000    0.003    0.000 /usr/lib/python2.6/urllib.py:1297(getproxies_environment)
      592    0.001    0.000    0.003    0.000 /usr/lib/python2.6/sre_parse.py:201(match)
       11    0.001    0.000    0.001    0.000 {method 'encode' of 'unicode' objects}
      114    0.001    0.000    0.001    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:72(_warning_check)
       11    0.001    0.000    0.001    0.000 {method 'autocommit' of '_mysql.connection' objects}
       44    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
        1    0.001    0.001    0.012    0.012 /usr/lib/python2.6/dist-packages/chardet/mbcsgroupprober.py:30(<module>)
      154    0.001    0.000    0.002    0.000 /usr/lib/python2.6/httplib.py:216(addheader)
       10    0.001    0.000    0.011    0.001 /usr/lib/python2.6/dist-packages/chardet/sbcsgroupprober.py:41(__init__)
       10    0.001    0.000    0.006    0.001 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:188(feed)
       11    0.001    0.000    0.001    0.000 {posix.unlink}
      463    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8228620}
       11    0.001    0.000    0.024    0.002 /usr/lib/python2.6/urllib2.py:439(build_opener)
      324    0.001    0.000    0.002    0.000 /usr/lib/python2.6/sre_parse.py:144(append)
       10    0.001    0.000    2.734    0.273 /usr/lib/python2.6/dist-packages/chardet/__init__.py:20(detect)
      488    0.001    0.000    0.001    0.000 {min}
       11    0.001    0.000    0.086    0.008 /home/renlu/Dropbox/Private/devel/hyer/hyer/spider.py:200(save_document)
      296    0.001    0.000    0.002    0.000 /usr/lib/python2.6/sre_parse.py:132(__len__)
       11    0.001    0.000    0.062    0.006 /home/renlu/Dropbox/Private/devel/hyer/hyer/dbwriter.py:31(run)
       12    0.001    0.000    0.002    0.000 /usr/lib/python2.6/socket.py:180(__init__)
       11    0.001    0.000    9.329    0.848 /usr/lib/python2.6/urllib2.py:1085(do_open)
      295    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
      520    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:44(get_state)
      140    0.001    0.000    0.069    0.000 /usr/lib/python2.6/re.py:144(sub)
       33    0.001    0.000    0.001    0.000 {posix.stat}
        1    0.001    0.001    0.016    0.016 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:29(<module>)
      230    0.001    0.000    0.002    0.000 <string>:8(__new__)
      143    0.001    0.000    0.002    0.000 {_bisect.insort}
       12    0.001    0.000    7.227    0.602 /usr/lib/python2.6/httplib.py:384(begin)
       11    0.001    0.000   15.280    1.389 /home/renlu/Dropbox/Private/devel/hyer/hyer/browser.py:55(getHTML)
      220    0.001    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:488(__lt__)
       59    0.001    0.000    0.010    0.000 /usr/lib/python2.6/sre_compile.py:184(_compile_charset)
      114    0.001    0.000    0.001    0.000 {method 'store_result' of '_mysql.connection' objects}
    66/24    0.001    0.000    0.032    0.001 /usr/lib/python2.6/sre_parse.py:307(_parse_sub)
       10    0.001    0.000    0.015    0.001 /usr/lib/python2.6/dist-packages/chardet/mbcsgroupprober.py:40(__init__)
        1    0.001    0.001    0.001    0.001 /usr/lib/python2.6/encodings/gb2312.py:7(<module>)
      300    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      114    0.001    0.000    0.002    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:309(_get_result)
        1    0.001    0.001    0.009    0.009 /usr/lib/python2.6/dist-packages/chardet/sjisprober.py:28(<module>)
       11    0.001    0.000    0.001    0.000 /usr/lib/python2.6/copy_reg.py:59(_reduce_ex)
       24    0.001    0.000    0.004    0.000 /usr/lib/python2.6/sre_compile.py:367(_compile_info)
      180    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:46(reset)
      136    0.001    0.000    0.001    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:16(defaulterrorhandler)
       12    0.001    0.000    2.315    0.193 /usr/lib/python2.6/socket.py:487(create_connection)
       84    0.001    0.000    0.001    0.000 /usr/lib/python2.6/rfc822.py:285(getheader)
      288    0.001    0.000    0.001    0.000 {method 'isspace' of 'str' objects}
