         754262 function calls (753796 primitive calls) in 20.095 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/httplib.py:467(_check_close)
       12    0.000    0.000    2.315    0.193 /usr/lib/python2.6/httplib.py:701(connect)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:40(__init__)
       11    0.000    0.000    0.180    0.016 /home/renlu/Dropbox/Private/devel/hyer/hyer/urldb.py:105(pop)
       23    0.000    0.000    0.001    0.000 /usr/lib/python2.6/socket.py:274(__del__)
      114    0.000    0.000    0.000    0.000 {method 'info' of '_mysql.connection' objects}
       21    0.000    0.000    0.000    0.000 {built-in method search}
       48    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_compile.py:480(isstring)
      114    0.000    0.000    0.000    0.000 {method 'warning_count' of '_mysql.connection' objects}
       11    0.000    0.000    0.006    0.001 /usr/lib/python2.6/urllib2.py:1169(http_response)
       11    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/document.py:31(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:82(get_confidence)
       99    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:481(add_parent)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:163(__init__)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:187(__init__)
       11    0.000    0.000    0.000    0.000 {posix.open}
       55    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:1112(<genexpr>)
       11    0.000    0.000    0.004    0.000 /usr/lib/python2.6/cookielib.py:1550(make_cookies)
       22    0.000    0.000    0.004    0.000 /usr/lib/python2.6/rfc822.py:295(getheaders)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/cookielib.py:1686(clear_expired_cookies)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/cookielib.py:1216(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:126(__init__)
       12    0.000    0.000    0.217    0.018 <string>:1(connect)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:645(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/threading.py:101(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1040(splittype)
        1    0.000    0.000    0.232    0.232 /home/renlu/Dropbox/Private/devel/hyer/hyer/spider.py:20(__init__)
       22    0.000    0.000    9.329    0.424 /usr/lib/python2.6/urllib2.py:359(_call_chain)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/genericpath.py:15(exists)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/socket.py:205(makefile)
       42    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:89(closegroup)
       22    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:338(fetchall)
       42    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:78(opengroup)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:169(request_host)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:766(putrequest)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:109(__init__)
       11    0.000    0.000    0.004    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urldb.py:114(mark)
       10    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       11    0.000    0.000    0.004    0.000 /usr/lib/python2.6/cookielib.py:1750(load)
       11    0.000    0.000    0.001    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:49(can_visit)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:143(__init__)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/string.py:308(join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/escprober.py:28(<module>)
       12    0.000    0.000    2.317    0.193 /usr/lib/python2.6/httplib.py:756(_send_output)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/urllib.py:979(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:124(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:97(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:158(reset)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/big5freq.py:43(<module>)
       11    0.000    0.000    0.003    0.000 /usr/lib/python2.6/urllib2.py:688(__init__)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:87(nextset)
       33    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:277(add_unredirected_header)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:152(__init__)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/httplib.py:709(close)
        1    0.000    0.000    0.001    0.001 {__import__}
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:122(get_confidence)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:92(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1169(unquote)
       22    0.000    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:245(get_host)
       70    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:140(__setitem__)
       11    0.000    0.000    9.329    0.848 /usr/lib/python2.6/urllib2.py:1145(http_open)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:238(get_type)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/random.py:160(randrange)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/cookielib.py:1731(__init__)
       24    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:184(__init__)
       60    0.000    0.000    0.000    0.000 {_sre.getlower}
       24    0.000    0.000    0.000    0.000 {_sre.compile}
       10    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:19(can_visit)
       11    0.000    0.000    0.000    0.000 {posix.read}
       12    0.000    0.000    0.001    0.000 <string>:1(sendall)
        1    0.000    0.000    0.228    0.228 /usr/lib/python2.6/robotparser.py:54(read)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:1159(__init__)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:847(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:28(<module>)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:665(_set_hostport)
       11    0.000    0.000    0.002    0.000 /usr/lib/python2.6/re.py:139(search)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:217(cursor)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/copy_reg.py:92(__newobj__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:101(reset)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1054(splithost)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/random.py:90(__init__)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:296(__init__)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/random.py:224(randint)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:186(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:29(<module>)
       23    0.000    0.000    0.000    0.000 /usr/lib/python2.6/socket.py:281(flush)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/constants.py:29(<module>)
       55    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       11    0.000    0.000    2.128    0.193 /usr/lib/python2.6/httplib.py:894(request)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:169(get_order)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:1174(vals_sorted_by_key)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:501(http_response)
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.222    0.222 /usr/lib/python2.6/urllib.py:290(open_http)
       11    0.000    0.000    0.000    0.000 {built-in method fetch_row}
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:270(set_character_set)
       33    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:985(info)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:48(get_charset_name)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1031(unwrap)
       42    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcssm.py:28(<module>)
       44    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
       12    0.000    0.000    2.317    0.193 /usr/lib/python2.6/httplib.py:884(endheaders)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/threading.py:96(RLock)
       11    0.000    0.000    0.004    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urldb.py:130(mark_visited)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:1252(_cookie_attrs)
       24    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       21    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/event.py:34(apply_filter)
        8    0.000    0.000    0.005    0.001 /usr/lib/python2.6/socket.py:479(next)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:98(get_order)
       33    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:281(has_header)
       34    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       24    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:73(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/UserDict.py:39(items)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/posixpath.py:308(normpath)
       11    0.000    0.000    0.001    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urlfunc.py:33(get_base_dir)
       11    0.000    0.000    0.002    0.000 /usr/lib/python2.6/urllib2.py:1165(http_request)
       10    0.000    0.000    0.000    0.000 {reduce}
       12    0.000    0.000    0.000    0.000 {map}
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:43(_debug)
       24    0.000    0.000    0.000    0.000 {built-in method group}
       29    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:80(got_enough_data)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:62(close)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:235(get_full_url)
        1    0.000    0.000    0.223    0.223 /usr/lib/python2.6/urllib.py:176(open)
       11    0.000    0.000    0.000    0.000 {built-in method describe}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:591(__init__)
       22    0.000    0.000    0.000    0.000 {_weakref.proxy}
       22    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:1179(deepvalues)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.6/encodings/__init__.py:71(search_function)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:1245(_cookies_for_request)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:229(has_data)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:162(get_confidence)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:264(get_state)
       22    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:68(_check_executed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:30(<module>)
       10    0.000    0.000    0.004    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:50(filter_high_bit_only)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:218(get_method)
       22    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urlparse.py:38(clear_cache)
        1    0.000    0.000   20.096   20.096 <string>:1(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/copy.py:112(_copy_with_constructor)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:1050(__init__)
       11    0.000    0.000    0.000    0.000 {posix.close}
       22    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:28(<module>)
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:168(set_model_probers)
       11    0.000    0.000    0.000    0.000 {_mysql.get_client_info}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:1177(addHandler)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.6/logging/__init__.py:802(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:28(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/cookielib.py:1705(__iter__)
       11    0.000    0.000    0.000    0.000 {method 'next_result' of '_mysql.connection' objects}
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/threading.py:59(__init__)
        1    0.000    0.000   20.096   20.096 ./webcrawler.py:181(start)
       11    0.000    0.000    0.000    0.000 {method 'get_server_info' of '_mysql.connection' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/gb2312prober.py:28(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:178(_get_string_literal)
       11    0.000    0.000    0.000    0.000 {binascii.hexlify}
       12    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:127(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/posixpath.py:335(abspath)
       11    0.000    0.000    0.000    0.000 {built-in method field_flags}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:365(http_error)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:183(_get_unicode_literal)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:998(__init__)
       11    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/connections.py:188(_get_string_decoder)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/escsm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:28(<module>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:682(set_debuglevel)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/gb2312prober.py:40(get_charset_name)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:29(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:1035(putheader)
       11    0.000    0.000    0.000    0.000 {gc.enable}
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:159(got_enough_data)
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:252(get_selector)
       11    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib2.py:264(has_proxy)
       11    0.000    0.000    0.000    0.000 {gc.disable}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.6/robotparser.py:49(set_url)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:47(get_confidence)
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:58(filter_with_english_letters)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/posixpath.py:59(join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/__init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/robotparser.py:212(http_error_default)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1192(quote)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/robotparser.py:203(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_compile.py:57(fixup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:30(getregentry)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:617(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langcyrillicmodel.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:738(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:943(close)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/event.py:10(add_event)
        1    0.000    0.000    0.031    0.031 /usr/lib/python2.6/httplib.py:1039(getreply)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:623(http_error_default)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/posixpath.py:50(isabs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:191(_acquireLock)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:211(tell)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:832(_open)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/robotparser.py:24(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:608(createLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:108(EUCKRDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:31(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langgreekmodel.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:150(__del__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:203(_releaseLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langbulgarianmodel.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langhungarianmodel.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:1010(_setup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langhebrewmodel.py:30(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:31(CharSetProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:30(CodingStateMachine)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1066(splituser)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/langthaimodel.py:28(<module>)
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/browser.py:10(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:153(close)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1019(toBytes)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:34(MultiByteCharSetProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/utf8prober.py:36(UTF8Prober)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:1016(_is_unicode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:96(Latin1Prober)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:39(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euckrfreq.py:41(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euctwfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:41(SingleByteCharSetProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jisfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:151(HebrewProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:156(cleanup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:1031(getfile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:41(UniversalDetector)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/escprober.py:33(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 {_codecs_cn.getcodec}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:678(setFormatter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:123(JapaneseContextAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:368(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:1412(getLogger)
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/rules_monster.py:8(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:540(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/sjisprober.py:36(SJISProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/gb2312freq.py:42(<module>)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:35(__init__)
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/browser.py:18(setCache)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euctwprober.py:33(EUCTWProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:172(SJISContextAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/euckrprober.py:33(EUCKRProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:185(EUCJPDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/logging/__init__.py:1020(setLevel)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:125(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:12(Codec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcsgroupprober.py:40(SBCSGroupProber)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:36(EUCJPProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/socket.py:476(__iter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/gb2312prober.py:33(GB2312Prober)
        1    0.000    0.000    0.000    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:4(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:162(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:191(EUCJPContextAnalysis)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/big5prober.py:33(Big5Prober)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:91(EUCTWDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:142(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcsgroupprober.py:39(MBCSGroupProber)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/encodings/gb2312.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:213(seek)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


